индонезийский контекст	русский контекст	русская конструкция	английский контекст	английская конструкция																						
Mr Dursley bersenandung ketika dia mengambil dasinya yang sangat membosankan untuk dipakainya bekerja, dan Mrs Dursley bergosip riang seraya berkutat dengan Dudley yang menjerit-jerit dan mendudukkan anak itu di kursinya yang tinggi.	Мистер Дурсль что-то напевал себе под нос, завязывая самый отвратительный из своих галстуков. А миссис Дурсль, с трудом усадив сопротивляющегося и орущего Дадли на высокий детский стульчик, со счастливой улыбкой пересказывала мужу последние сплетни.	актив	Mr Dursley hummed as he picked out his most boring tie for work and Mrs Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.	актив																						
Selama mengendarai mobilnya ke kota, yang dipikirkannya hanyalah pesanan bor dalam jumlah besar yang akan didapatnya hari itu.	И пока его автомобиль ехал к Лондону из пригорода, мистер Дурсль думал о крупном заказе на дрели, который рассчитывал сегодня получить.	актив	As he drove towards town he thought of nothing except a large order of drills he was hoping to get that day.	актив																						
"Maaf," gumamnya, ketika laki-laki tua yang ditabraknya terhuyung nyaris jatuh.	– Извините, – пробурчал он, видя, как маленький старикашка пошатнулся и едва не упал.	актив	‘Sorry,’ he grunted, as the tiny old man stumbled and almost fell.	актив																						
Ketika mobilnya meluncur masuk ke pekarangan rumah nomor empat, yang pertama kali dilihatnya—dan ini tidak membuatnya bertambah lega—adalah kucing betina yang telah dilihatnya pagi tadi.	Когда он свернул с Тисовой улицы на дорожку, ведущую к дому номер четыре, он сразу заметил уже знакомую полосатую кошку.	актив	As he pulled into the driveway of number four, the first thing he saw – and it didn’t improve his mood – was the tabby cat he’d spotted that morning.	актив																						
Dia sudah menemukan apa yang dicarinya di kantong sebelah dalam.	Наконец во внутреннем кармане он нашел то, что искал.	актив	He had found what he was looking for in his inside pocket.	актив																						
Jelas bahwa apa pun yang dikatakan "semua orang", tak akan dipercayainya sampai Dumbledore mengatakan kepadanya bahwa itu benar.	Было очевидно: несмотря на то что она знает, о чем говорят все вокруг, она не поверит в это, пока Дамблдор не скажет ей, что это правда.	актив	It was plain that whatever ‘everyone’ was saying, she was not going to believe it until Dumbledore told her it was true.	актив																						
Ditemukannya sepasang di bawah tempat tidur, dan setelah menarik labah-labah dari salah satu di antaranya, dipakainya kaus kaki itu.	Он обнаружил их под кроватью и, надевая, стряхнул ползающего по ним паука.	актив	He found a pair under his bed and, after pulling a spider off one of them, put them on.	актив																						
Tampaknya Dudley mendapatkan komputer baru yang diinginkannya, belum lagi televisi baru, dan sepeda balap.	Похоже, что Дадли подарили новый компьютер, который тот так хотел, еще один телевизор и гоночный велосипед – это не говоря обо всем прочем.	безличное	It looked as though Dudley had got the new computer he wanted, not to mention the second television and the racing bike.	безличное																						
Seluruh rumahnya bau kol dan Mrs Figg memaksanya melihat foto-foto semua kucing yang pernah dimilikinya.	Весь дом миссис Фигг насквозь пропах кабачками, а его хозяйка заставляла Гарри любоваться фотографиями многочисленных кошек, живших у нее в разные годы.	актив	The whole house smelled of cabbage and Mrs Figg made him look at photographs of all the cats she’d ever owned.	актив																						
MR dan Mrs Dursley yang tinggal di Privet Drive nomor empat bangga menyatakan diri bahwa mereka orang-orang yang normal, untunglah.	Мистер и миссис Дурсль проживали в доме номер четыре по Тисовой улице и всегда с гордостью заявляли, что они, слава богу, абсолютно нормальные люди.	актив	Mr and Mrs Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.	актив																						
Tetapi sebetulnya yang dilakukannya hanyalah (seperti diteriakkannya kepada Paman Vernon dari dalam lemarinya yang terkunci) melompat ke belakang tempat sampah besar di luar pintu dapur.	Гарри пытался объяснить дяде Вернону что он всего лишь хотел перепрыгнуть через мусорные баки, стоявшие за столовой, и сам не понял, как оказался на крыше, но тот молча запер его в кладовке и ушел.	актив	But all he’d tried to do (as he shouted at Uncle Vernon through the locked door of his cupboard) was jump behind the big bins outside the kitchen doors.	актив																						
Di sudut ada televisi pertama Dudley, yang ditendangnya sampai bolong ketika acara favoritnya batal ditayangkan.	В углу стоял первый телевизор Дадли, который тот разбил ударом ноги, когда отменили показ его любимой передачи.	актив	The month-old cine-camera was lying on top of a small, working tank Dudley had once driven over next door’s dog; in the corner was Dudley’s first-ever television set, which he’d put his foot through when his favourite programme had been cancelled; there was a large bird-cage which had once held a parrot that Dudley had swapped at school for a real air-rifle, which was up on a shelf with the end all bent because Dudley had sat on it.	актив																						
