индонезийский контекст	русский контекст	русская конструкция	английский контекст	английская конструкция
Tetapi menjelang masuk kota, bor tergusur keluar dari pikirannya oleh sesuatu yang lain.	Но когда он подъехал к Лондону, заполнившие его голову дрели вылетели оттуда в мгновение ока, потому что, попав в обычную утреннюю автомобильную пробку и от нечего делать глядя по сторонам, мистер Дурсль заметил, что на улицах появилось множество очень странно одетых людей.	актив	But on the edge of town, drills were driven out of his mind by something else.	пассив
Kemungkinan besar mereka akan tertangkap oleh Filch atau Mrs Norris, dan Harry merasa dia mengharap keberuntungan yang berlebihan dengan melanggar peraturan sekolah lainnya hari ini.	Гарри чувствовал, что испытывает судьбу, собираясь второй раз за день нарушить школьные правила, шанс, что их поймает Филч или миссис Норрис, был очень велик.	актив	There was a very good chance they were going to get caught by Filch or Mrs Norris, and Harry felt he was pushing his luck, breaking another school rule today.	пассив
Pada pagi Hallowe’en mereka terbangun oleh bau lezat labu panggang yang menguar di koridor-koridor.	Проснувшись утром в канун Хэллоуина, ребята почувствовали восхитительный запах запеченной тыквы – непременного атрибута этого праздника.	актив	On Hallowe’en morning they woke to the delicious smell of baking pumpkin wafting through the corridors.	актив
Banyak orang sudah tersia-sia di depan cermin ini, terpesona oleh apa yang mereka lihat, atau jadi gila karenanya, karena tak tahu apakah yang diperlihatkan cermin itu riil atau bahkan mungkin.	Многие люди, стоя перед зеркалом, ломали свою жизнь. Одни из-за того, что были зачарованы увиденным. Другие сходили с ума оттого, что не могли понять, сбудется ли то, что предсказало им зеркало, гарантировано им это будущее или оно просто возможно?	пассив	Men have wasted away before it, entranced by what they have seen, or been driven mad, not knowing if what it shows is real or even possible.	past participle
Sebelumnya Mr Vernon Dursley telah terbangun pagi-pagi buta oleh bunyi uhu-uhu keras dari kamar keponakannya, Harry.	Ранним утром мистер Вернон Дурсль проснулся от громкого уханья совы, долетевшего из комнаты племянника.	"от"	Mr Vernon Dursley had been woken in the early hours of the morning by a loud, hooting noise from his nephew Harry’s room.	пассив
Perkataannya terpotong oleh ketukan di pintu.	В дверь постучали.	безличное	He was interrupted by a knock on the door.	пассив
Pagi Hari Natal-nya, Harry terbangun oleh Ron yang melemparkan bantal kepadanya.	Рождественским утром Рон кинул в Гарри подушкой, и Гарри проснулся.	актив	On Christmas morning, Harry was woken by Ron throwing his pillow at him.	пассив
Frank terpincang-pincang memutar ke belakang rumah sampai dia tiba di pintu yang nyaris tersembunyi oleh sulur-sulur tanaman, mengambil kunci tuanya, memasukkannya ke lubang kunci, dan membuka pintu tanpa suara.	Фрэнк, хромая, обошел вокруг Дома, добрался до задней двери, скрытой плющом, вставил ключ в скважину и беззвучно повернул.	страдательное причастие	Frank limped around to the back of the house until he reached a door almost completely hidden by ivy, took out the old key, put it into the lock and opened the door noiselessly.	past participle
Dia berharap ajakan mereka untuk menginap bisa datang setiap waktu (Ron telah menyebut-nyebut Piala Dunia Quidditch), dan Harry tak ingin kunjungannya terganggu oleh pertanyaan-pertanyaan ingin tahu tentang bekas lukanya.	Гарри любил семью Уизли больше всего на свете, он надеялся, что они пригласят его погостить — Рон говорил об этом и связи с Чемпионатом мира по квиддичу, — и Гарри вовсе не желал, чтобы его пребывание в этом доме омрачалось тревожными расспросами о шраме.	пассив	The Weasleys were Harry’s favourite family in the world; he was hoping that they might invite him to stay any time now (Ron had mentioned something about the Quidditch World Cup), and he somehow didn’t want his visit punctuated with anxious enquiries about his scar.	past participle
Namun tahun ini tampaknya semua anak kelas empat, dan kelas-kelas di atasnya, tinggal dan bagi Harry mereka semua tampak terobsesi oleh pesta dansa atau paling tidak semua anak perempuannya, dan mengherankan sekali, mendadak di Hogwarts serasa ada begitu banyak anak perempuan.	Нынче из старшекурсников не уехал никто. И все помешаны на Святочном бале, по крайней мере девчонки. Сколько же их в Хогвартсе!	актив	This year, however, everyone in the fourth year and above seemed to be staying, and they all seemed to Harry to be obsessed with the coming ball - or at least all the girls were, and it was amazing how many girls Hogwarts suddenly seemed to hold; he had never quite noticed that before.	пассив
Voldemort mengangkat tongkatnya lagi, dan sebelum Harry bisa melakukan apa-apa untuk melindungi diri, sebelum dia bahkan bisa bergerak, dia telah terhantam lagi oleh Kutukan Cruciatus.	Волан-де-Морт занес палочку, и прежде чем Гарри успел что-либо сообразить, его снова настигло заклятие Круциатус.	актив	Voldemort raised his wand, and before Harry could do anything to defend himself, before he could even move, he had been hit again by the Cruciatus Curse.	пассив
